Title,Year,Rating
The Beaches of Agnès,2008,8.0
Some Widows of Noirmoutier,2006,7.0
Cinévardaphoto,2004,7.4
The Gleaners and I: Two Years Later,2002,7.1
The Gleaners & I,2000,7.7
The World of Jacques Demy,1995,7.4
One Hundred and One Nights,1995,6.5
The Young Girls Turn 25,1993,7.0
Jacquot of Nantes,1991,7.7
Kung-Fu Master!,1988,6.9
Jane B. for Agnes V.,1988,7.2
Vagabond,1985,7.6
Documenteur,1981,6.9
Mur murs,1981,7.4
"One Sings, the Other Doesn't",1977,7.4
Daguerreotypes,1975,7.6
Nausicaa,1971,6.6
Lions Love (... and Lies),1969,5.9
The Creatures,1966,6.4
Happiness,1965,7.6
Cléo from 5 to 7,1962,7.8
La Pointe Courte,1955,7.0
