Title,Year,Rating
Buddy Buddy,1981,6.5
Fedora,1978,6.8
The Front Page,1974,7.3
Avanti!,1972,7.2
The Private Life of Sherlock Holmes,1970,7.0
The Fortune Cookie,1966,7.2
"Kiss Me, Stupid",1964,6.9
Irma la Douce,1963,7.3
"One, Two, Three",1961,7.9
The Apartment,1960,8.3
Some Like It Hot,1959,8.2
Witness for the Prosecution,1957,8.4
Love in the Afternoon,1957,7.1
The Spirit of St. Louis,1957,7.1
The Seven Year Itch,1955,7.1
Sabrina,1954,7.6
Stalag 17,1953,8.0
Ace in the Hole,1951,8.1
Sunset Boulevard,1950,8.4
A Foreign Affair,1948,7.3
The Emperor Waltz,1948,6.1
The Lost Weekend,1945,7.9
Double Indemnity,1944,8.3
Five Graves to Cairo,1943,7.3
The Major and the Minor,1942,7.4
