Title,Year,Rating
Domino,2019,4.5
Passion,2012,5.3
Redacted,2007,6.1
The Black Dahlia,2006,5.6
Femme Fatale,2002,6.2
Mission to Mars,2000,5.7
Snake Eyes,1998,6.1
Mission: Impossible,1996,7.2
Carlito's Way,1993,7.9
Raising Cain,1992,6.1
The Bonfire of the Vanities,1990,5.6
Casualties of War,1989,7.1
The Untouchables,1987,7.8
Wise Guys,1986,5.6
Body Double,1984,6.8
Scarface,1983,8.3
Blow Out,1981,7.4
Dressed to Kill,1980,7.1
Home Movies,1979,5.0
The Fury,1978,6.3
Carrie,1976,7.4
Obsession,1976,6.7
Phantom of the Paradise,1974,7.3
Sisters,1972,6.9
Get to Know Your Rabbit,1972,5.2
"Hi, Mom!",1970,6.1
Greetings,1968,5.7
Murder à la Mod,1968,5.4
