Title,Year,Rating
Cry Macho,2021,5.7
Richard Jewell,2019,7.5
The Mule,2018,7.0
The 15:17 to Paris,2018,5.3
Sully,2016,7.4
American Sniper,2014,7.3
Jersey Boys,2014,6.8
J. Edgar,2011,6.5
Hereafter,2010,6.5
Invictus,2009,7.3
Gran Torino,2008,8.1
Changeling,2008,7.7
Letters from Iwo Jima,2006,7.8
Flags of Our Fathers,2006,7.1
Million Dollar Baby,2004,8.1
Mystic River,2003,7.9
Blood Work,2002,6.4
Space Cowboys,2000,6.5
True Crime,1999,6.6
Midnight in the Garden of Good and Evil,1997,6.6
Absolute Power,1997,6.7
The Bridges of Madison County,1995,7.6
A Perfect World,1993,7.5
Unforgiven,1992,8.2
The Rookie,1990,5.9
White Hunter Black Heart,1990,6.5
Bird,1988,7.1
Heartbreak Ridge,1986,6.8
Pale Rider,1985,7.3
Sudden Impact,1983,6.6
Honkytonk Man,1982,6.6
Firefox,1982,5.9
Bronco Billy,1980,6.1
The Gauntlet,1977,6.4
The Outlaw Josey Wales,1976,7.8
The Eiger Sanction,1975,6.4
Breezy,1973,7.0
High Plains Drifter,1973,7.4
Play Misty for Me,1971,6.9
