Title,Year,Rating
The Shrouds,2024,5.2
Crimes of the Future,2022,5.8
Maps to the Stars,2014,6.2
Cosmopolis,2012,5.1
A Dangerous Method,2011,6.4
Eastern Promises,2007,7.6
A History of Violence,2005,7.4
Spider,2002,6.8
eXistenZ,1999,6.8
Crash,1996,6.4
M. Butterfly,1993,6.7
Naked Lunch,1991,6.9
Dead Ringers,1988,7.2
The Fly,1986,7.6
The Dead Zone,1983,7.2
Videodrome,1983,7.2
Scanners,1981,6.7
The Brood,1979,6.8
Fast Company,1979,5.4
Rabid,1977,6.3
Shivers,1975,6.3
Crimes of the Future,1970,4.7
Stereo,1969,5.1
