Title,Year,Rating
Twin Peaks: The Missing Pieces,2014,7.5
Duran Duran: Unstaged,2014,6.4
More Things That Happened,2007,7.0
Dynamic:01: The Best of DavidLynch.com,2007,6.6
Inland Empire,2006,6.8
The Short Films of David Lynch,2002,7.3
Eraserhead Stories,2001,7.1
Mulholland Drive,2001,7.9
Mulholland Dr.,1999,8.2
The Straight Story,1999,8.0
Lost Highway,1997,7.6
Twin Peaks: Fire Walk with Me,1992,7.3
Wild at Heart,1990,7.2
Twin Peaks,1989,8.9
Blue Velvet,1986,7.7
Dune,1984,6.3
The Elephant Man,1980,8.2
Eraserhead,1977,7.3
