Title,Year,Rating
Megalopolis,2024,6.9
Twixt,2011,4.7
Tetro,2009,6.8
Youth Without Youth,2007,6.1
The Rainmaker,1997,7.2
Jack,1996,5.8
Bram Stoker's Dracula,1992,7.4
The Godfather Trilogy: 1901-1980,1992,9.3
The Godfather Part III,1990,7.6
Tucker: The Man and His Dream,1988,6.9
Gardens of Stone,1987,6.4
Peggy Sue Got Married,1986,6.4
The Cotton Club,1984,6.5
Rumble Fish,1983,7.1
The Outsiders,1983,7.0
One from the Heart,1981,6.5
Apocalypse Now,1979,8.4
The Godfather Part II,1974,9.0
The Conversation,1974,7.7
The Godfather,1972,9.2
The Rain People,1969,6.8
Finian's Rainbow,1968,6.1
You're a Big Boy Now,1966,6.0
Dementia 13,1963,5.7
