Title,Year,Rating
Saraband,2003,7.5
The Image Makers,2000,6.5
In the Presence of a Clown,1997,6.9
The Last Gasp,1995,6.0
Backanterna,1993,6.0
Madame de Sade,1992,6.8
The Blessed Ones,1986,6.3
Dom Juan,1985,6.2
The Making of Fanny and Alexander,1984,7.5
After the Rehearsal,1984,7.1
Hustruskolan,1983,5.8
Fanny and Alexander,1982,8.1
From the Life of the Marionettes,1980,7.2
Faro Document 1979,1979,6.7
Autumn Sonata,1978,8.1
The Serpent's Egg,1977,6.6
Face to Face,1976,7.5
The Magic Flute,1975,7.5
Scenes from a Marriage,1974,8.3
The Misanthrope,1974,6.4
Cries & Whispers,1972,8.0
The Touch,1971,6.3
The Passion of Anna,1969,7.6
The Rite,1969,7.0
Shame,1968,8.0
Hour of the Wolf,1968,7.5
Persona,1966,8.1
All These Women,1964,5.4
The Silence,1963,7.7
A Dream Play,1963,7.0
Winter Light,1963,8.0
Through a Glass Darkly,1961,7.9
The Devil's Eye,1960,7.1
The Virgin Spring,1960,8.0
Storm Weather,1960,6.1
The Magician,1958,7.6
Rabies,1958,5.9
Brink of Life,1958,7.3
Wild Strawberries,1957,8.1
The Seventh Seal,1957,8.1
Smiles of a Summer Night,1955,7.7
Dreams,1955,7.0
A Lesson in Love,1954,7.0
Sawdust and Tinsel,1953,7.4
Summer with Monika,1953,7.5
Secrets of Women,1952,7.0
Summer Interlude,1951,7.5
This Can't Happen Here,1950,5.0
To Joy,1950,7.2
Thirst,1949,6.5
Prison,1949,6.7
Port of Call,1948,6.6
Music in Darkness,1948,6.4
A Ship to India,1947,6.4
It Rains on Our Love,1946,6.6
Crisis,1946,6.4
