Title,Year,Rating
7 Women,1965,6.7
Cheyenne Autumn,1964,6.7
Donovan's Reef,1963,6.7
The Man Who Shot Liberty Valance,1962,8.1
Two Rode Together,1961,6.7
Sergeant Rutledge,1960,7.4
The Horse Soldiers,1959,7.1
The Last Hurrah,1958,7.3
Gideon of Scotland Yard,1958,6.6
The Rising of the Moon,1957,6.6
The Wings of Eagles,1957,6.6
The Searchers,1956,7.8
The Long Gray Line,1955,7.2
Mogambo,1953,6.6
The Sun Shines Bright,1953,6.9
What Price Glory,1952,6.1
The Quiet Man,1952,7.7
Rio Grande,1950,7.0
Wagon Master,1950,7.1
When Willie Comes Marching Home,1950,6.4
She Wore a Yellow Ribbon,1949,7.2
3 Godfathers,1948,7.0
Fort Apache,1948,7.4
My Darling Clementine,1946,7.7
Undercover,1944,6.1
How Green Was My Valley,1941,7.7
Tobacco Road,1941,6.4
The Long Voyage Home,1940,6.9
The Grapes of Wrath,1940,8.1
Drums Along the Mohawk,1939,7.0
Young Mr. Lincoln,1939,7.5
Stagecoach,1939,7.8
Submarine Patrol,1938,6.1
Four Men and a Prayer,1938,6.1
The Hurricane,1937,7.1
Wee Willie Winkie,1937,6.9
The Plough and the Stars,1936,5.7
The Prisoner of Shark Island,1936,7.2
Steamboat Round the Bend,1935,6.9
The Informer,1935,7.4
The Whole Town's Talking,1935,7.3
Judge Priest,1934,6.2
The World Moves On,1934,5.9
The Lost Patrol,1934,6.8
Doctor Bull,1933,6.4
Pilgrimage,1933,7.2
Flesh,1932,6.5
Air Mail,1932,6.6
Arrowsmith,1931,6.2
The Brat,1931,6.1
The Seas Beneath,1931,5.8
Up the River,1930,5.9
Born Reckless,1930,5.4
Men Without Women,1930,6.0
The Black Watch,1929,5.6
Strong Boy,1929,4.4
Riley the Cop,1928,6.0
Hangman's House,1928,6.6
Four Sons,1928,7.2
Mother Machree,1927,5.5
Upstream,1927,6.2
3 Bad Men,1926,7.5
The Shamrock Handicap,1926,6.1
The Fighting Heart,1925,3.5
Thank You,1925,4.5
Kentucky Pride,1925,6.2
Lightnin',1925,6.0
The Iron Horse,1924,7.2
Hoodman Blind,1923,4.2
Cameo Kirby,1923,5.7
The Face on the Bar-Room Floor,1923,3.6
The Village Blacksmith,1922,5.3
Rider of the Law,1919,4.4
Ace of the Saddle,1919,4.7
The Outcasts of Poker Flat,1919,4.1
Riders of Vengeance,1919,3.7
Bare Fists,1919,4.0
A Fight for Love,1919,4.3
Roped,1919,3.8
Three Mounted Men,1918,4.1
Straight Shooting,1917,6.3
