Title,Year,Rating
Killers of the Flower Moon,2023,7.6
The Irishman,2019,7.8
Rolling Thunder Revue,2019,7.6
Silence,2016,7.2
The Wolf of Wall Street,2013,8.2
Hugo,2011,7.5
George Harrison: Living in the Material World,2011,8.1
Public Speaking,2010,7.6
Shutter Island,2010,8.2
Shine a Light,2008,7.1
The Departed,2006,8.5
The Aviator,2004,7.5
Gangs of New York,2002,7.5
Bringing Out the Dead,1999,6.8
My Voyage to Italy,1999,8.2
Kundun,1997,7.0
Casino,1995,8.2
The Age of Innocence,1993,7.2
Cape Fear,1991,7.3
Goodfellas,1990,8.7
The Last Temptation of Christ,1988,7.5
The Color of Money,1986,7.0
After Hours,1985,7.6
The King of Comedy,1982,7.8
Raging Bull,1980,8.1
The Last Waltz,1978,8.1
"New York, New York",1977,6.6
Taxi Driver,1976,8.2
Alice Doesn't Live Here Anymore,1974,7.3
Mean Streets,1973,7.2
Boxcar Bertha,1972,6.0
Street Scenes,1970,6.6
Who's That Knocking at My Door,1967,6.5
