Title,Year,Rating
The Beatles: Get Back - The Rooftop Concert,2022,9.0
They Shall Not Grow Old,2018,8.2
The Hobbit: The Battle of the Five Armies,2014,7.4
The Hobbit: The Desolation of Smaug,2013,7.8
The Hobbit: An Unexpected Journey,2012,7.8
The Lovely Bones,2009,6.6
King Kong,2005,7.2
The Lord of the Rings: The Return of the King,2003,9.0
The Lord of the Rings: The Two Towers,2002,8.8
The Lord of the Rings: The Fellowship of the Ring,2001,8.9
The Making of 'The Frighteners',1998,7.8
The Frighteners,1996,7.1
Heavenly Creatures,1994,7.3
Dead Alive,1992,7.5
Meet the Feebles,1989,6.6
Bad Taste,1987,6.5
