Title,Year,Rating
Napoleon,2023,6.4
House of Gucci,2021,6.6
The Last Duel,2021,7.4
All the Money in the World,2017,6.8
Alien: Covenant,2017,6.4
The Martian,2015,8.0
Exodus: Gods and Kings,2014,6.0
The Counselor,2013,5.4
Prometheus,2012,7.0
Robin Hood,2010,6.6
Body of Lies,2008,7.0
American Gangster,2007,7.8
A Good Year,2006,6.9
Kingdom of Heaven,2005,7.3
Matchstick Men,2003,7.3
Black Hawk Down,2001,7.7
Hannibal,2001,6.8
Gladiator,2000,8.5
G.I. Jane,1997,6.0
White Squall,1996,6.6
1492: Conquest of Paradise,1992,6.4
Thelma & Louise,1991,7.6
Black Rain,1989,6.6
Someone to Watch Over Me,1987,6.1
Legend,1985,6.3
Blade Runner,1982,8.1
Alien,1979,8.5
The Duellists,1977,7.4
