Title,Year,Rating
Pinocchio,2022,5.1
The Witches,2020,5.4
Welcome to Marwen,2018,6.2
Allied,2016,7.1
The Walk,2015,7.3
Flight,2012,7.3
Behind the Carol: The Full Motion-Capture Experience,2010,6.9
A Christmas Carol,2009,6.8
Beowulf,2007,6.3
The Polar Express,2004,6.6
Cast Away,2000,7.8
What Lies Beneath,2000,6.6
"Robert Zemeckis on Smoking, Drinking and Drugging in the 20th Century: In Pursuit of Happiness",1999,6.9
Contact,1997,7.5
Forrest Gump,1994,8.8
Death Becomes Her,1992,6.6
Back to the Future Part III,1990,7.4
Back to the Future Part II,1989,7.8
Who Framed Roger Rabbit,1988,7.7
Back to the Future,1985,8.5
Romancing the Stone,1984,6.9
Used Cars,1980,6.7
I Wanna Hold Your Hand,1978,6.8
