Title,Year,Rating
The Palace,2023,5.4
An Officer and a Spy,2019,7.2
Based on a True Story,2017,5.7
Venus in Fur,2013,7.1
Carnage,2011,7.1
The Ghost Writer,2010,7.2
Oliver Twist,2005,6.8
The Pianist,2002,8.5
The Ninth Gate,1999,6.7
Death and the Maiden,1994,7.2
Bitter Moon,1992,7.2
Frantic,1988,6.8
Pirates,1986,6.0
Tess,1979,7.3
The Tenant,1976,7.6
Chinatown,1974,8.1
What?,1972,5.5
Macbeth,1971,7.4
Rosemary's Baby,1968,8.0
The Fearless Vampire Killers,1967,7.0
Cul-de-sac,1966,7.0
Repulsion,1965,7.6
Knife in the Water,1962,7.4
