Title,Year,Rating
David Byrne's American Utopia,2020,8.2
Da 5 Bloods,2020,6.5
BlacKkKlansman,2018,7.5
Michael Jackson's Journey from Motown to Off the Wall,2016,7.4
Chi-Raq,2015,5.9
NBA 2K16,2015,7.0
Da Sweet Blood of Jesus,2014,4.5
Oldboy,2013,5.8
Bad 25,2012,7.9
Red Hook Summer,2012,5.3
Kobe Doin' Work,2009,6.6
Miracle at St. Anna,2008,6.1
Inside Man,2006,7.6
Sucker Free City,2004,6.7
She Hate Me,2004,5.3
25th Hour,2002,7.6
Jim Brown: All American,2002,6.4
A Huey P. Newton Story,2001,7.1
Bamboozled,2000,6.7
The Original Kings of Comedy,2000,6.8
Pavarotti & Friends 99 for Guatemala and Kosovo,1999,5.3
Summer of Sam,1999,6.7
John Leguizamo: Freak,1998,8.2
He Got Game,1998,6.9
4 Little Girls,1997,7.8
Get on the Bus,1996,6.9
Girl 6,1996,5.3
Clockers,1995,6.9
Crooklyn,1994,7.0
Malcolm X,1992,7.7
Jungle Fever,1991,6.6
Mo' Better Blues,1990,6.7
Do the Right Thing,1989,8.0
School Daze,1988,6.1
She's Gotta Have It,1986,6.8
Joe's Bed-Stuy Barbershop: We Cut Heads,1983,5.5
