Title,Year,Rating
The Fabelmans,2022,7.5
West Side Story,2021,7.1
Ready Player One,2018,7.4
The Post,2017,7.2
The BFG,2016,6.3
Bridge of Spies,2015,7.6
Lincoln,2012,7.3
War Horse,2011,7.2
The Adventures of Tintin,2011,7.3
Indiana Jones and the Kingdom of the Crystal Skull,2008,6.2
Munich,2005,7.5
War of the Worlds,2005,6.5
The Terminal,2004,7.4
Catch Me If You Can,2002,8.1
Minority Report,2002,7.6
A.I. Artificial Intelligence,2001,7.2
Saving Private Ryan,1998,8.6
Amistad,1997,7.3
The Lost World: Jurassic Park,1997,6.5
Schindler's List,1993,9.0
Jurassic Park,1993,8.2
Hook,1991,6.8
Always,1989,6.4
Indiana Jones and the Last Crusade,1989,8.2
Empire of the Sun,1987,7.7
The Color Purple,1985,7.7
Indiana Jones and the Temple of Doom,1984,7.5
E.T. the Extra-Terrestrial,1982,7.9
Raiders of the Lost Ark,1981,8.4
1941,1979,5.8
Close Encounters of the Third Kind,1977,7.6
Jaws,1975,8.1
The Sugarland Express,1974,6.7
Savage,1973,5.4
Something Evil,1972,5.3
Duel,1971,7.6
Firelight,1964,5.5
