Title,Year,Rating
Dumbo,2019,6.3
Miss Peregrine's Home for Peculiar Children,2016,6.7
Big Eyes,2014,7.0
Frankenweenie,2012,6.9
Dark Shadows,2012,6.2
Alice in Wonderland,2010,6.4
Sweeney Todd: The Demon Barber of Fleet Street,2007,7.3
Charlie and the Chocolate Factory,2005,6.7
Big Fish,2003,8.0
Planet of the Apes,2001,5.7
Sleepy Hollow,1999,7.3
Mars Attacks!,1996,6.4
A Visit with Vincent,1994,8.4
Ed Wood,1994,7.8
Batman Returns,1992,7.1
Edward Scissorhands,1990,7.9
Batman,1989,7.5
Beetlejuice,1988,7.5
Pee-wee's Big Adventure,1985,7.0
