Title,Year,Rating
The Caine Mutiny Court-Martial,2023,6.8
The Devil and Father Amorth,2017,4.6
Killer Joe,2011,6.7
Bug,2006,6.1
The Hunted,2003,6.1
Rules of Engagement,2000,6.4
12 Angry Men,1997,7.8
Jade,1995,5.3
Blue Chips,1994,6.3
The Guardian,1990,5.4
C.A.T. Squad: Python Wolf,1988,4.1
Rampage,1987,6.2
C.A.T. Squad,1986,4.6
To Live and Die in L.A.,1985,7.3
Deal of the Century,1983,4.6
Cruising,1980,6.5
The Brink's Job,1978,6.5
Sorcerer,1977,7.7
Fritz Lang Interviewed by William Friedkin,1975,7.7
The Exorcist,1973,8.1
The French Connection,1971,7.7
The Boys in the Band,1970,7.6
The Night They Raided Minsky's,1968,6.1
The Birthday Party,1968,6.4
Good Times,1967,4.5
The Thin Blue Line,1966,6.4
Pro Football: Mayhem on a Sunday Afternoon,1965,6.8
The Bold Men,1965,7.0
