Title,Year,Rating
Coup de Chance,2023,6.4
Rifkin's Festival,2020,6.1
A Rainy Day in New York,2019,6.5
Wonder Wheel,2017,6.2
Café Society,2016,6.6
Irrational Man,2015,6.6
Magic in the Moonlight,2014,6.5
Blue Jasmine,2013,7.3
To Rome with Love,2012,6.3
Midnight in Paris,2011,7.6
You Will Meet a Tall Dark Stranger,2010,6.3
Whatever Works,2009,7.1
Vicky Cristina Barcelona,2008,7.1
Cassandra's Dream,2007,6.6
Scoop,2006,6.6
Match Point,2005,7.6
Melinda and Melinda,2004,6.4
Anything Else,2003,6.3
Hollywood Ending,2002,6.5
The Curse of the Jade Scorpion,2001,6.7
Small Time Crooks,2000,6.7
Sweet and Lowdown,1999,7.2
Celebrity,1998,6.3
Deconstructing Harry,1997,7.3
Everyone Says I Love You,1996,6.7
Mighty Aphrodite,1995,7.0
Don't Drink the Water,1994,6.2
Bullets Over Broadway,1994,7.4
Manhattan Murder Mystery,1993,7.3
Husbands and Wives,1992,7.5
Shadows and Fog,1991,6.7
Alice,1990,6.6
Crimes and Misdemeanors,1989,7.8
Another Woman,1988,7.2
September,1987,6.5
Radio Days,1987,7.4
Hannah and Her Sisters,1986,7.8
The Purple Rose of Cairo,1985,7.7
Broadway Danny Rose,1984,7.4
Zelig,1983,7.7
A Midsummer Night's Sex Comedy,1982,6.6
Stardust Memories,1980,7.2
Manhattan,1979,7.8
Interiors,1978,7.3
Annie Hall,1977,8.0
Love and Death,1975,7.6
Sleeper,1973,7.1
Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,1972,6.7
Bananas,1971,6.9
Take the Money and Run,1969,7.2
